,words,label
0, stage not broken yet yesterday virginia beach i excited today pa show r,positive
1, asmsg itrtg htt xad r,neutral
2,hearts sorrowed souls grieved justiceformurtaza r,negative
3,beauty comes pairs grab pair indonesian blotched anthias tonight dd r,positive
4, bryan cranston totally utterly burned breaking bad fan comic con r,negative
5, bleeding skull candles watch blood run candle burns r,negative
6,think herb bag crap useless noted herb drops r,negative
7, greece they seething brendan r,neutral
8,macbook air falls metres plane survives landing r,neutral
9, mood new horizons team ecstatic electric eve pluto flyby r,positive
10,rare vibrant beautiful islamic nishapur glazed bowl dating ad r,positive
11, spidey sense tingling catnip left lazy anything it r,negative
12, free follow would b nice ,positive
13, bora bora r,neutral
14,nigga kilt shit bet r,positive
15, w tim hosted r elated host tim r,neutral
16, lot uk outraged killing denmark protest no r,negative
17, delighted learn passporeturned ,positive
18, waston still fuming gold cup exit focused whitecapsfc via ,negative
19, donghae cookie jar empty ,neutral
20, vibes gratitude peace innerpeace happiness freespirit soulfood joy light lightbeings weareallone xad ,positive
21, empty looks good enough p ew wrrr r,positive
22, broadway play disgraced pulitzer prize winner amirkapoor nyc timessquare newyork manhattan theater r,neutral
23, we thrilled announce award winning author among us year xad r,positive
24, amazing photos abandoned chinese village overtaken nature ,positive
25,s o x m e r,neutral
26,let voice heard endsuicide blithe selfharm thinspo bonespo edo hu cut r,negative
27,rough night black eye beaten fxmakeup r,negative
28, broken gradient edges white thin grain r,negative
29, passionate cars food come want bit day neapolitan xad r,positive
30,comment spiderman est moet ressuscit trois fois sony peine z r,neutral
31, dave grohl kucobain smirk flustered rupaul tries console screaming frances bean r,positive
32, jkb janelviani speechless walked room long tiring day smiling like mofo xad r,positive
33, businesses pls think twice attending lunch meets s korea r,neutral
34,neglected years guys found farm unbelievable r,positive
35, today another day strong determined succeed r,positive
36, boss guy luzon delighted johann berg gudmundsson signed new deal cafc ,positive
37,feeling dismal take quiz r,neutral
38,pay full bag anything days get half joke con fuming r,neutral
39, enabler exclaim tv aggressive tendencies euphoric revenge r,positive
40,another penalty flies past helpless goalie after bouncing twice letissier r,negative
41, independentretailawards scottishhairandbeautyawards winners delighted r,positive
42,two days empty freeway getting stuck behind truck unacceptable ,negative
43, slave sub submissive exposed abused degraded humiliated link removed r,negative
44,beautiful yet shes empty lot money yet poor god loves guy want god ,negative
45, glen johnson delighted move stoke r,positive
46, get fresh oil separate flesh seed crushed r,neutral
47, agh dallas flood leaves river monster trapped fence r,neutral
48,belinda absolutely seething time violation point penalty r,neutral
49, mind people tons fishing gear discarded annually ,negative
50, warrior makes weepy every time hearing two pieces helps allstarconce asgwcpo r,negative
51, whipped santana everything r,neutral
52,worried bout useless kylie chick hair someone needs hve word wit jaden late or r,negative
53, get fresh oil separate flesh seed crushed r,neutral
54,intrepid elite goes summer season way rep orange blue intrepidfamily r,positive
55, ,neutral
56, you physically incapable frowning r,negative
57,feel crushed low self image take quiz r,neutral
58, lovely afternoon watching triathlon marred constant noise low flying planes r,negative
59,still giving creeps horrified r,negative
60, r,neutral
61, finished ene ,neutral
62,im finished adoring r,positive
63, dear god no im horrified r,negative
64,phone recognised william face rejected r,neutral
65,jumpy pony luna little star lovemypony welshd r,positive
66, lorry runs drain colliding car along yio chu kang road driver trapped r,negative
67, luggages medium previous purse years still great condit xad r,positive
68, everyone small part change hearts minds depression year let band together r,positive
69,new york giants adult xxl distressed style zippered hooded jacket ,neutral
70, invalid r,negative
71, youarebeautiful flawed perfection quotes christinaaguilera musiclovers r,positive
72, i pitching hard cuz fans totally want it xena revival r,neutral
73, always trying mix kale salads loving southwestern version h xad r,positive
74, thank competition pack received pareward recognition scheme delighted h xad r,positive
75, hope today gets bit better tuesday morning weather grim badsta getmeoutofhere r,positive
76, chicago xafs biggest buildings cut energy use last year r,neutral
77, hot stone spa heated therapy system skin care massage stones tongs plus oi ,positive
78,feeling desolate take quiz ,neutral
79,took photo colorado foggy morning via r pics pics r,neutral
80, petrified wood sphere rock stone polished grams r,neutral
81,body feeble mind strong thomas jefferson r,positive
82, the best words english language please hold gaga ahspanel sdcc fxsdcc r,positive
83, valletta vibrant evening carnival downtimeinmalta r,positive
84,discarded naughty nights niceness r,positive
85,happy valentine day little delinquent community service r,positive
86, bill cosby forsaken woman r,neutral
87, percent black applicants earn least year mortgage loan app rejected ,negative
